"method","target","expected","achieved_mean","max_abs_err","n_fail","err"
"rank",-0.9,-0.9,-0.899988908935997,5.75282596571025e-05,0,""
"rank",-0.6,-0.6,-0.608725683413499,0.0088645868597419,0,""
"rank",-0.3,-0.3,-0.294911296775097,0.0126623516481216,0,""
"rank",0,0,-0.00169474306177464,0.00847521514860073,0,""
"rank",0.3,0.3,0.298657437509529,0.00391824874131685,0,""
"rank",0.6,0.6,0.608725683413499,0.0088645868597419,0,""
"rank",0.9,0.9,0.899988908935997,5.75282596571025e-05,0,""
"copula",-0.9,-0.8914561316801,-0.88645091781592,0.0251502210690275,0,""
"copula",-0.6,-0.58192010412407,-0.575381739616254,0.0635432362957764,0,""
"copula",-0.3,-0.287564218622621,-0.290927928605023,0.0907736160926781,0,""
"copula",0,0,-0.0130375860804882,0.102907969051445,0,""
"copula",0.3,0.287564218622621,0.274870792162459,0.0779280954810709,0,""
"copula",0.6,0.58192010412407,0.576842412743314,0.0413657963671749,0,""
"copula",0.9,0.8914561316801,0.889817885376527,0.0131106066141156,0,""
"hybrid",-0.9,-0.9,-0.898872529171299,0.0099244173827826,0,""
"hybrid",-0.6,-0.6,-0.590576690297078,0.0199862499658078,0,""
"hybrid",-0.3,-0.3,-0.294897180750914,0.011679539062606,0,""
"hybrid",0,0,-0.0106941843385676,0.053360326617958,0,""
"hybrid",0.3,0.3,0.303738844422386,0.012467935262726,0,""
"hybrid",0.6,0.6,0.601431077864063,0.0138016790106764,0,""
"hybrid",0.9,0.9,0.898773741733286,0.0112537905149962,0,""
