"filename","first_line","last_line","functions"
"R/class-multisitedgp_data.R",309,309,".format_multisitedgp_print_header"
"R/class-multisitedgp_data.R",391,391,".format_headline_row"
"R/class-multisitedgp_data.R",403,408,".format_headline_row"
"R/class-multisitedgp_data.R",422,422,".format_feasibility_headline"
"R/class-multisitedgp_data.R",447,447,".summary_report_rows"
"R/class-multisitedgp_data.R",455,455,".format_summary_row"
"R/class-multisitedgp_data.R",488,488,".report_row"
"R/class-multisitedgp_design.R",451,451,"update_multisitedgp_design"
"R/class-multisitedgp_design.R",545,545,".format_design_scalar"
"R/class-multisitedgp_design.R",548,548,".format_design_scalar"
"R/class-multisitedgp_design.R",560,560,".format_design_vector"
"R/class-multisitedgp_design.R",567,567,".format_design_fn"
"R/class-multisitedgp_design.R",572,576,".validate_theta_g_container"
"R/class-multisitedgp_design.R",579,583,".validate_theta_g_container"
"R/class-multisitedgp_design.R",590,594,".validate_list"
"R/class-multisitedgp_design.R",642,646,".design_to_constructor_args"
"R/class-multisitedgp_design.R",705,709,".validate_design_ranges"
"R/class-multisitedgp_design.R",712,716,".validate_design_ranges"
"R/class-multisitedgp_design.R",726,730,".validate_design_ranges"
"R/class-multisitedgp_design.R",786,790,".validate_design_coherence"
"R/class-multisitedgp_design.R",793,797,".validate_design_coherence"
"R/design_grid.R",146,146,".validate_design_grid_args"
"R/design_grid.R",157,161,".validate_design_grid_args"
"R/diagnostics-core.R",217,217,"bhattacharyya_coef"
"R/diagnostics-core.R",275,275,".core_diagnostics_table"
"R/diagnostics-core.R",335,335,".apply_diagnostic_thresholds"
"R/diagnostics-core.R",379,379,".threshold_spec_for_row"
"R/diagnostics-core.R",465,465,".sampling_drift_cutoffs"
"R/diagnostics-core.R",486,486,".status_by_abs_delta"
"R/diagnostics-core.R",505,505,".status_by_rel_delta"
"R/diagnostics-core.R",565,565,".status_average_moe"
"R/diagnostics-core.R",578,578,".feasibility_status"
"R/diagnostics-core.R",622,626,".validate_diagnostic_data"
"R/diagnostics-core.R",648,648,".target_i"
"R/diagnostics-core.R",658,658,".target_r"
"R/diagnostics-core.R",672,672,".target_rank_corr"
"R/diagnostics-core.R",673,673,".target_rank_corr"
"R/diagnostics-core.R",675,675,".target_rank_corr"
"R/diagnostics-core.R",681,681,".target_pearson_corr"
"R/diagnostics-core.R",690,690,".target_pearson_corr"
"R/diagnostics-core.R",731,731,".resolve_distribution_pair"
"R/diagnostics-core.R",742,746,".reference_z_quantiles"
"R/diagnostics-core.R",752,752,".reference_z_quantiles"
"R/diagnostics-core.R",753,753,".reference_z_quantiles"
"R/diagnostics-core.R",771,775,".validate_bins"
"R/layer1-effects-common.R",75,79,".build_covariate_effect"
"R/layer1-effects-common.R",96,100,".build_covariate_effect"
"R/layer1-effects-common.R",114,118,".validate_formula"
"R/layer1-effects-common.R",157,161,".build_model_matrix"
"R/layer1-effects-common.R",175,179,".resolve_covariate_beta"
"R/layer1-effects-common.R",193,197,".resolve_named_beta"
"R/layer1-effects-common.R",207,211,".resolve_named_beta"
"R/layer1-effects-common.R",220,220,".resolve_unnamed_beta"
"R/layer1-effects-common.R",250,250,".l1_decomposition"
"R/layer1-gen_effects_ald.R",125,129,".validate_ald_theta"
"R/layer1-gen_effects_mixture.R",221,221,".legacy_mixture_raw_draw"
"R/layer1-gen_effects_pmslab.R",129,133,".validate_pmslab_theta"
"R/layer1-gen_effects_pmslab.R",182,182,".draw_pmslab_z"
"R/layer1-gen_effects_skewn.R",125,129,".validate_skewn_theta"
"R/layer1-gen_effects_user.R",173,177,".call_user_g_fn"
"R/layer1-gen_effects_user.R",227,234,".new_raw_user_effects_frame"
"R/layer1-gen_effects.R",287,287,"gen_effects"
"R/layer1-gen_effects.R",292,296,".abort_effects_shape_pending"
"R/layer2-diagnostics.R",118,122,"compute_I"
"R/layer2-diagnostics.R",330,334,"informativeness.default"
"R/layer2-diagnostics.R",449,453,"mean_shrinkage.multisitedgp_data"
"R/layer2-diagnostics.R",473,477,"mean_shrinkage.default"
"R/layer2-diagnostics.R",480,484,"mean_shrinkage.default"
"R/layer2-engine-a2.R",107,111,"solve_trunc_gamma"
"R/layer2-engine-a2.R",188,192,"rtrunc_gamma"
"R/layer2-engine-a2.R",207,211,"rtrunc_gamma"
"R/layer2-engine-a2.R",246,246,".trunc_gamma_residual"
"R/layer2-engine-a2.R",277,277,".fit_trunc_gamma_start"
"R/layer2-gen_se_direct.R",177,177,".gen_se_direct_custom"
"R/layer2-gen_se_direct.R",180,184,".gen_se_direct_custom"
"R/layer2-gen_se_direct.R",189,193,".gen_se_direct_custom"
"R/layer2-gen_se_direct.R",222,226,".validate_direct_se_args"
"R/layer2-gen_se_direct.R",240,244,".validate_direct_custom_n_j"
"R/layer3-align_copula_corr.R",164,168,".rank_normal_scores"
"R/layer3-align_copula_corr.R",191,191,".latent_pearson"
"R/layer3-align_rank_corr.R",141,145,"align_rank_corr"
"R/layer3-align_rank_corr.R",197,197,".hill_climb_spearman"
"R/layer3-align_rank_corr.R",253,253,".spearman_swap_score"
"R/layer3-align_rank_corr.R",282,286,".check_rank_fit"
"R/layer3-dependence-custom.R",60,64,".validate_dependence_fn_output"
"R/layer3-dependence-custom.R",86,90,".validate_dependence_fn_perm"
"R/layer4-gen_observations.R",130,134,".validate_l4_upstream"
"R/plots.R",331,331,".plot_reference_value"
"R/plots.R",337,337,".plot_diagnostic_subtitle"
"R/plots.R",352,352,".plot_dependence_subtitle"
"R/plots.R",374,374,".format_plot_value"
"R/plots.R",410,410,".dependence_bootstrap_envelope"
"R/plots.R",418,418,".dependence_bootstrap_envelope"
"R/plots.R",422,422,".dependence_bootstrap_envelope"
"R/plots.R",437,437,".predict_loess_envelope"
